,heuristic,board,correlation,sample_number
453,blocking,10_hard_pruned,0.453367021,9
454,blocking,10_medium_full,0.447749423,9
455,blocking,10_medium_pruned,0.388472487,9
456,blocking,6_easy_full,0.777514594,9
457,blocking,6_easy_pruned,0.469958185,9
458,blocking,6_hard_full,0.776498158,9
459,blocking,6_hard_pruned,0.461277801,9
460,density,10_easy_full,0.389041904,9
461,density,10_easy_pruned,0.453196314,9
462,density,10_hard_full,0.157804821,9
463,density,10_hard_pruned,0.557622452,9
464,density,10_medium_full,0.241899825,9
465,density,10_medium_pruned,0.130481685,9
466,density,6_easy_full,0.454725994,9
467,density,6_easy_pruned,0.554641142,9
468,density,6_hard_full,0.305517888,9
469,density,6_hard_pruned,0.454520505,9
470,interaction,10_easy_full,0.505383099,9
471,interaction,10_easy_pruned,0.488531732,9
472,interaction,10_hard_full,0.599210773,9
473,interaction,10_hard_pruned,0.365744442,9
474,interaction,10_medium_full,0.423604835,9
475,interaction,10_medium_pruned,0.478041349,9
476,interaction,6_easy_full,0.875305324,9
477,interaction,6_easy_pruned,0.629899694,9
478,interaction,6_hard_full,0.638351027,9
479,interaction,6_hard_pruned,0.702120253,9
480,linear,10_easy_full,0.285912241,9
481,linear,10_easy_pruned,0.514350327,9
482,linear,10_hard_full,0.478010883,9
483,linear,10_hard_pruned,0.285015175,9
484,linear,10_medium_full,0.531402923,9
485,linear,10_medium_pruned,0.419187061,9
486,linear,6_easy_full,0.610906073,9
487,linear,6_easy_pruned,0.598519341,9
488,linear,6_hard_full,0.584215146,9
489,linear,6_hard_pruned,0.534817599,9
490,non-linear,10_easy_full,0.389665967,9
491,non-linear,10_easy_pruned,0.54856617,9
492,non-linear,10_hard_full,0.660751606,9
493,non-linear,10_hard_pruned,0.437974025,9
494,non-linear,10_medium_full,0.343877438,9
495,non-linear,10_medium_pruned,0.4684726,9
496,non-linear,6_easy_full,0.91666678,9
497,non-linear,6_easy_pruned,0.736631035,9
498,non-linear,6_hard_full,0.481173437,9
499,non-linear,6_hard_pruned,0.58205933,9
500,blocking,10_easy_full,0.613259712,10
501,blocking,10_easy_pruned,0.602750755,10
502,blocking,10_hard_full,0.697348729,10
503,blocking,10_hard_pruned,0.433410314,10
504,blocking,10_medium_full,0.374815398,10
505,blocking,10_medium_pruned,0.607003327,10
506,blocking,6_easy_full,0.881442583,10
507,blocking,6_easy_pruned,0.588720573,10
508,blocking,6_hard_full,0.569047212,10
509,blocking,6_hard_pruned,0.674406048,10
510,density,10_easy_full,-0.00741453,10
511,density,10_easy_pruned,0.405846644,10
512,density,10_hard_full,0.418202788,10
513,density,10_hard_pruned,0.179611523,10
514,density,10_medium_full,0.13824346,10
515,density,10_medium_pruned,-0.057138009,10
516,density,6_easy_full,0.591472815,10
517,density,6_easy_pruned,0.551239368,10
518,density,6_hard_full,0.497077198,10
519,density,6_hard_pruned,0.413779485,10
520,interaction,10_easy_full,0.462381305,10
521,interaction,10_easy_pruned,0.538029205,10
522,interaction,10_hard_full,0.567724876,10
523,interaction,10_hard_pruned,0.443268307,10
